,index,name,price,mileage,drivetrain,mpg,fuel_type,transmission,engine,zipcode,oneowner,personal_use
1141,2,2018 Lexus LC 500 Base,80959,16831, Rear-wheel Drive ,16–26,Gasoline ,10-Speed Automatic,5.0L V8 32V PDI DOHC,92782,3,3
1142,3,2014 Volvo S60 T5 Premier,23590,20031, All-wheel Drive ,20–29,Gasoline ,6-Speed Automatic,2.5L I5 20V MPFI DOHC Turbo,0,3,3
1143,4,2019 Mercedes-Benz GLS 450 4MATIC,51987,33427, All-wheel Drive ,16–22,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,02062,3,3
1144,5,2019 Honda Civic LX,20700,51372, Front-wheel Drive ,31–40,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,84042,3,3
1145,6,2019 Toyota Tacoma SR,38798,29041, 4WD ,18–22,Gasoline ,6-Speed Automatic,3.5L V6 24V PDI DOHC,32548,1,1
1146,7,2009 Honda Element EX,14549,107703, Four-wheel Drive ,19–24,Gasoline ,5-Speed Automatic,2.4L I4 16V MPFI DOHC,16066,0,1
1147,8,2011 Dodge Ram 1500 Sport,14950,121590, Four-wheel Drive ,13,Gasoline ,Automatic,5.7L V8 16V MPFI OHV,85020,0,1
1148,9,2019 Toyota Camry SE,26495,23030, Front-wheel Drive ,28–39,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC,11234,3,3
1149,10,2017 Ford Escape Titanium,16995,41263, Front-wheel Drive ,23–30,Gasoline ,6-Speed Automatic,1.5L I4 16V GDI DOHC Turbo,75041,3,3
1150,11,2017 Ford F-150 XLT,34897,44673, Four-wheel Drive ,None,Gasoline ,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,15241,0,0
1151,12,2011 Acura MDX 3.7L Technology,13986,87327, All-wheel Drive ,16–21,Gasoline ,6-Speed Automatic,3.7L V6 24V MPFI SOHC,07513,3,3
